Tier,Player,Position,Team,Bye,Kendall Valenzuela,Matthew Berry,Matthew Freedman,Dwain McFarland,Consensus,Last Week Difference,,ADP,Difference vs. ADP,Utilization Score
9,Keenan Allen,WR,Free Agent,0,249,,307,282,289,27,27,,,60
9,Brashard Smith,RB,KC,5,248,,239,351,290,-7,-7,,,22
9,Ty Johnson,RB,BUF,7,,,265,294,291,-17,-17,,,32
9,Kyle Williams,WR,NE,11,233,,282,328,292,-13,-13,,,14
9,Malik Davis,RB,DAL,14,260,,283,302,293,-12,-12,,,23
9,Kendre Miller,RB,NO,8,217,,258,370,294,-6,-6,,,26
9,Shedeur Sanders,QB,CLE,11,264,,322,262,295,-6,-6,,,
9,Michael Penix,QB,ATL,11,263,,306,280,296,-9,-9,,,
9,Charlie Smyth,K,NO,8,,,280,288,297,46,46,,,
9,Brenen Thompson,WR,LAC,7,256,,334,268,298,-6,-6,,,
9,Hollywood Brown,WR,PHI,10,,,274,299,299,-14,-14,,,44
9,Deshaun Watson,QB,CLE,11,,,316,260,300,-7,-7,,,
9,Charlie Kolar,TE,LAC,7,,,336,242,301,-4,-4,,,15
9,Ollie Gordon,RB,MIA,6,259,,254,355,302,-11,-11,,,21
9,Jonnu Smith,TE,Free Agent,0,,,,290,303,39,39,,,39
9,J.J. McCarthy,QB,MIN,6,205,,350,317,304,-10,-10,,,
9,Keon Coleman,WR,BUF,7,266,,303,305,305,-9,-9,,,44
9,Devin Neal,RB,NO,8,223,,289,372,306,-6,-6,,,44
9,Darnell Washington,TE,PIT,9,,,296,298,307,-12,-12,,,35
9,Dawson Knox,TE,BUF,7,262,,326,304,308,-9,-9,,,45
9,Trey Benson,RB,ARI,14,261,,271,365,309,-6,-6,,,56
9,Devaughn Vele,WR,NO,8,,,312,286,310,-12,-12,,,29
9,Marvin Mims,WR,DEN,10,239,,301,358,311,-3,-3,,,34
9,Oscar Delp,TE,NO,8,255,,300,346,312,-8,-8,,,
9,Joe Mixon,RB,Free Agent,0,225,,287,389,313,13,13,,,
9,Michael Mayer,TE,LV,13,,,343,259,314,-12,-12,,,43
10,Mack Hollins,WR,NE,11,,,314,296,315,-14,-14,,,44
10,Darius Slayton,WR,NYG,8,,,311,301,316,-9,-9,,,47
10,New Orleans Saints,DST,NO,8,,,342,271,317,44,44,,,
10,Nate Boerkircher,TE,JAC,7,257,,,356,318,-6,-6,,,
10,Eli Heidenreich,RB,PIT,9,,,304,312,319,-10,-10,,,
10,Elijah Arroyo,TE,SEA,11,250,,340,335,320,-6,-6,,,27
10,Jerome Ford,RB,WAS,7,,,277,343,321,-6,-6,,,29
10,Eli Raridon,TE,NE,11,,,333,287,322,-12,-12,,,
10,Emari Demercado,RB,KC,5,,,302,321,323,-12,-12,,,26
10,Kendrick Bourne,WR,ARI,14,,,299,325,324,-11,-11,,,32
10,Kevin Coleman,WR,MIA,6,,,381,244,325,-8,-8,,,
10,Devin Singletary,RB,NYG,8,258,,320,361,326,-8,-8,,,32
10,Zavion Thomas,WR,CHI,10,254,,337,374,327,1,1,,,
10,Marlin Klein,TE,HOU,8,267,,,378,328,3,3,,,
10,Ja'Tavion Sanders,TE,CAR,5,,,347,300,329,-9,-9,,,39
10,Michael Carter,RB,TEN,9,,,325,,330,-5,-5,,,51
10,KaVontae Turpin,WR,DAL,14,,,332,319,331,-9,-9,,,25
10,Darren Waller,TE,Free Agent,0,,,359,292,332,50,50,,,62
10,Xavier Legette,WR,CAR,5,,,315,339,333,-6,-6,,,41
10,Malik Benson,WR,LV,13,,,323,332,334,-4,-4,,,
10,Isaac Guerendo,RB,SF,8,,,292,363,335,-2,-2,,,
10,Zane Gonzalez,K,MIA,6,,,328,,336,58,58,,,
10,Kirk Cousins,QB,LV,13,,,330,,337,0,0,,,
10,Odell Beckham,WR,NYG,8,,,,331,338,-17,-17,,,
10,Andrei Iosivas,WR,CIN,6,,,368,295,339,-10,-10,,,37
10,Tampa Bay Buccaneers,DST,TB,10,,,401,264,340,24,24,,,
10,Trevor Etienne,RB,CAR,5,,,297,369,341,-3,-3,,,5
10,Tai Felton,WR,MIN,6,,,298,368,342,-6,-6,,,4
10,Noah Gray,TE,KC,5,,,318,348,343,-8,-8,,,27
10,LeQuint Allen,RB,JAC,7,,,295,373,344,-3,-3,,,15
10,Cole Kmet,TE,CHI,10,,,345,323,345,-11,-11,,,43
10,Jaylin Lane,WR,WAS,7,,,341,336,346,-7,-7,,,20
10,Chicago Bears,DST,CHI,10,,,408,269,347,27,27,130.1,-208.4,
10,Phil Mafah,RB,DAL,14,,,353,327,348,-8,-8,,,35
10,Justin Joly,TE,DEN,10,,,339,342,349,-4,-4,,,
10,Ben Sinnott,TE,WAS,7,,,331,353,350,-3,-3,,,14
10,Olamide Zaccheaus,WR,ATL,11,,,369,316,351,-7,-7,,,32
10,Cedric Tillman,WR,CLE,11,,,338,349,352,-6,-6,,,32
10,Jared Wiley,TE,KC,5,,,344,,353,-2,-2,,,4
10,Tennessee Titans,DST,TEN,9,,,404,285,354,34,34,,,
10,New York Giants,DST,NYG,8,,,398,291,355,35,35,128.3,-216.2,
10,Jarquez Hunter,RB,LA,11,,,308,387,356,-2,-2,,,
10,Deion Burks,WR,IND,13,,,319,379,357,-2,-2,,,
10,Carson Beck,QB,ARI,14,,,349,,358,-2,-2,,,
10,Justin Fields,QB,KC,5,,,354,345,359,-6,-6,,,
10,Devontez Walker,WR,BAL,13,,,379,322,360,-10,-10,,,13
10,DeMario Douglas,WR,NE,11,,,386,315,361,-13,-13,,,26
10,Daniel Bellinger,TE,TEN,9,,,351,,362,-4,-4,,,29
10,Joshua Palmer,WR,BUF,7,,,378,326,363,-14,-14,,,30
10,Calvin Austin,WR,NYG,8,,,371,333,364,-12,-12,,,37
10,Cade Klubnik,QB,NYJ,13,,,352,,365,-6,-6,,,
10,Luke McCaffrey,WR,WAS,7,,,329,377,366,-4,-4,,,24
10,Will Kacmarek,TE,MIA,6,,,,354,367,-10,-10,,,
10,Jalen Tolbert,WR,MIA,6,,,402,308,368,32,32,,,24
10,Foster Moreau,TE,HOU,8,,,355,,369,-4,-4,,,12
10,Mac Jones,QB,SF,8,,,356,,370,-3,-3,,,
10,Indianapolis Colts,DST,IND,13,,,397,318,371,34,34,,,
10,Tahj Brooks,RB,CIN,6,,,357,360,372,-6,-6,,,9
10,Roman Hemby,RB,LV,13,,,360,359,373,-10,-10,,,
10,J'Mari Taylor,RB,JAC,7,,,324,396,374,24,24,,,
10,Tyler Higbee,TE,LA,11,,,346,375,375,-4,-4,,,42
10,Will Shipley,RB,PHI,10,,,361,,376,-3,-3,,,10
10,Las Vegas Raiders,DST,LV,13,,,413,309,377,25,25,,,
10,Savion Williams,WR,GB,11,,,395,329,378,-18,-18,,,8
10,Julian Hill,TE,NE,11,,,362,,379,37,37,,,20
10,Ashton Dulin,WR,IND,13,,,,362,380,-12,-12,,,7
10,Konata Mumpfield,WR,LA,11,,,327,398,381,-5,-5,,,11
10,Jaleel McLaughlin,RB,DEN,10,,,317,408,382,15,15,,,18
10,Dont'e Thornton,WR,LV,13,,,373,352,383,-14,-14,,,19
10,Marcus Mariota,QB,WAS,7,,,363,,384,-9,-9,,,
10,Jalen Royals,WR,KC,5,,,376,350,385,-15,-15,,,2
10,Audric Estime,RB,NO,8,,,335,392,386,20,20,,,49
10,New York Jets,DST,NYJ,13,,,414,314,387,23,23,,,
10,Isaiah Bond,WR,CLE,11,,,372,357,388,-11,-11,,,27
